dx_id	name	created_by	created
project-Fyxpbz04k47BQxj3KqxpKq61	002_180116_K00178	user-ykim	2020-11-23
project-Fy4ggJ84Q7kp6YF78Qg2Bykp	002_180209_K00178	user-toutoua	2020-10-16
project-FxqPGQQ4Q1jxVvgp5ZxFjjYz	002_171024_171026_NS500192	user-toutoua	2020-10-02
project-FvpVyxQ41x9f2f3XJXYB0q1k	002_150914_NB501067_150914_NS500192	user-ykim	2020-08-13
project-G2gvQ4Q4P5X20gGgJ20pYjBX	002_210524_K00178_0329_AHLK5YBBXY_MYE	user-jwahn	2021-05-27
project-G1vjGJ04bfyPQk849Qy66zqb	002_210409_K00178_0322_AHLFKVBBXY	user-ccharalambous	2021-04-16
project-G03Q7jj4fFxKj0J33g49kZ4f	002_180323_K00178	user-ykim	2021-01-19
project-G3698f84Jy90kp8fGGVZgKv9	002_210614_K00178_0332_BHLKCWBBXY_MYE	user-ccharalambous	2021-06-18
project-G1Kq2bQ4JBg0gVkFF50J1JX3	002_171103_171106_NS500192	user-toutoua	2021-03-26
project-G1Kq4j04pVKyz2zbJ2JQb3P1	002_180306_K00178	user-toutoua	2021-03-26
project-FyyYz9047V77X4YX2gyFxb2F	002_161128_161130_NS500192	user-toutoua	2020-11-24
project-G1gK7b041y509BgY3kpZG6KJ	002_180509_Κ00178	user-toutoua	2021-04-08
project-G1gK0B047xV6341ZPX48j9GK	002_160329_160331_NS500192	user-toutoua	2021-04-08
project-G1Gzk6j4pXFXqQj57pxvG8V7	002_210318_K00178_0317_AHLFH2BBXY	user-ccharalambous	2021-03-23
project-FxppKB042pJ3FZj1081K4qbV	002_180529_K00178	user-toutoua	2020-10-01
project-G02k6084jK6Yb5VK8xK58X9J	002_180410_K00178	user-ykim	2021-01-18
project-Fx36K6j469vpQYfF3ffpGygj	002_170818_170821_NS500192_171109_K00178	user-ykim	2020-08-26
project-FxqP8YQ419p5BYF5P4xqgbV4	002_170510_170512_NS500192	user-toutoua	2020-10-02
project-G03QQx04PK5KPz8bJg49z1xg	002_151130_151202_NS500192	user-ykim	2021-01-19
project-G03JBJQ4JkzbgXkyPp8zv12J	002_170127_170130_NS500192	user-toutoua	2021-01-19
project-G1qQK6Q493PyzBzfP1KY4bbZ	002_170330_170403_NS500192	user-toutoua	2021-04-14
project-G1p3zf847bppG9KP5vkBjfzQ	002_150724_NB501067_150724_NS500192	user-toutoua	2021-04-12
project-G3jb38Q41fKYgXJQ9ff5q24J	002_210709_K00178_0335_AHLKG2BBXY_MYE	user-aishadahir	2021-07-16
project-FxQ9GG04pZZ5VQVQK823pyB3	002_200727_K00178_0273_AHGW2YBBXY_clinicalgenetics	user-ykim	2020-09-15
project-G2J7YzQ4kvKzxPvzFZ6pv3JG	002_210414_A01295_0011_BH7HVHDRXY_MYE	user-ccharalambous	2021-05-11
project-G38pXVQ4PFVJB1vj29p51GKF	003_Novaseq_validation_Uranus	user-ccharalambous	2021-06-22
project-Fx8K0304Vpy9G95X4qqX85GJ	002_200813_K00178_0275_AHGVYLBBXY_clinicalgenetics	user-ykim	2020-09-03
project-FqpyV3Q43VgjpQ3FBZgK9qKf	002_200604_K00178_0264_BHGW25BBXY_clinicalgenetics	user-garnerm	2020-06-26
project-G0zbzy84xj4xk5jj4zG9ZKXp	002_210226_K00178_0313_AHKN37BBXY_clinicalgenetics	user-toutoua	2021-03-03
project-G0pX4V84bkF82XQ89FXYqQ4j	002_210212_K00178_0311_AHKMK2BBXY_clinicalgenetics	user-toutoua	2021-02-23
project-Fvg86J849k238qJzJ4Jy26vF	002_200723_K00178_0271_AHH5LCBBXY_clinicalgenetics	user-garnerm	2020-08-08
project-FqpyP4849k475xgp1zp0zfGq	002_200604_K00178_0263_AHGLFVBBXY_clinicalgenetics	user-garnerm	2020-06-26
project-FqpyXX84Jp7Z271V81gvg9jq	002_200619_K00178_0267_AHGW7TBBXY_clinicalgenetics	user-garnerm	2020-06-26
